consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,tophat.png,tree.png,planet.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.3241,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.4795,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0777,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1.0794,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,1,window.png,unicorn.png,planet.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.701,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,train.png,tree.png,trident.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.2756,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.0071,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.8978,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,1,north.png,bell.png,planet.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1.2236,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,1,apple.png,fox.png,trident.png,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2.1069,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,1,apple.png,fox.png,trident.png,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.3021,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,1,compass.png,watch.png,planet.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2.1404,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,1,snorkel.png,bell.png,trident.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.7341,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,1,houses.png,watch.png,trident.png,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.7127,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1.5391,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,1,hammer.png,fox.png,trident.png,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.8717,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.8651,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,1,apple.png,fox.png,trident.png,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.1445,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.1859,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,1,compass.png,watch.png,planet.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.4933,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,1,houses.png,watch.png,planet.png,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,4.3525,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.8809,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,1,snorkel.png,bell.png,trident.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.0968,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,587d4ed4e4404c0001c9d1b9,001,2022-12-08_15h02.54.969,study3,2021.1.3,Win32,59.8372427,587d4ed4e4404c0001c9d1b9,639196b66de4c8b2f2d051a0,6391fad19337642f39878fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,1,houses.png,watch.png,planet.png,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
